Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos produtores,mes
FPSO CIDADE DE ILHA BELA,121568.373569146,5915.44935354839,158775.426067588,9,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Tupi,2021-12-01
FPSO CIDADE DE MANGARATIBA,109134.669830474,6248.45423870967,148436.259785653,8,Anc_Tupi,2021-12-01
FPSO CIDADE DE PARATY,101055.061556079,4663.51161645161,130387.663556353,6,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-12-01
PETROBRAS 69,100325.202040998,5445.68575322581,134577.530748496,7,Anc_Tupi/Sul De Tupi/Anc_Norte_Atapu,2021-12-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,80653.6874878267,916.478373548386,86418.162326555,11,Espadarte/Tartaruga Verde/Lapa,2021-12-01
PETROBRAS 58,70007.7644148194,2066.38075193548,83004.9067321507,13,Baleia Anã/Anc_Tupi,2021-12-01
PETROBRAS 68,63104.8215812522,1587.01147677419,73086.8222379813,5,Berbigão/Anc_Tupi,2021-12-01
FPSO CIDADE DE CARAGUATATUBA,59198.8436101355,2671.03555193548,75999.1497350548,4,Nordeste De Sapinhoá,2021-12-01
PETROBRAS 53,50877.4635305839,1055.18607225806,57514.3834397334,7,Roncador,2021-12-01
PETROBRAS 40,50030.4127889129,1153.63939129032,57286.5853686447,15,Marlim/Barracuda,2021-12-01
PETROBRAS 52,48257.3620162452,792.891470322581,53244.4987151948,15,Marlim Leste,2021-12-01
PETROBRAS 66 (P-66),46302.3934976256,1620.55952,56495.4049721169,4,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-12-01
FPSO CARIOCA (MV-30),43885.7350010766,1242.91078580645,51703.4076907499,3,Anc_Tupi,2021-12-01
PETROBRAS 57,39414.5404559258,367.114442258064,41723.620545985,16,Baleia Anã,2021-12-01
FPSO CIDADE DE SÃO PAULO,37460.660583708,2025.3763683871,50199.8931193529,7,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Argonauta,2021-12-01
PETROBRAS 55,33087.9472412516,527.180641935484,36403.8133147038,10,Jubarte,2021-12-01
FPSO CIDADE DE ANGRA DOS REIS,32372.943689279102,1318.08281741936,40663.4341751116,5,Anc_Tupi/Sul De Tupi/Espadarte,2021-12-01
PETROBRAS 43,32155.8846450032,363.98066483871,34445.2538705124,15,Barracuda/Marlim Sul,2021-12-01
FPSO PIONEIRO DE LIBRA,29316.4857134432,1918.56155677419,41383.8733788571,1,Marlim,2021-12-01
PETROBRAS 51,28538.0995553774,614.843981612903,32405.3513793661,11,Roncador,2021-12-01
FPSO ESPIRITO SANTO,27293.553330545,263.068254516129,28948.2026684831,22,Argonauta/Mero,2021-12-01
PETROBRAS 77,161290.261824276,6580.610421,202681.051056386,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01
PETROBRAS 70,158134.116623508,5446.136753,192389.282033895,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-11-01
PETROBRAS 74,148521.981134924,6074.299634,186728.171715853,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01
PETROBRAS 75,147289.811586869,6008.35564166667,185081.226985381,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01
PETROBRAS 67,138542.6231069,5321.243758,172012.235308406,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
FPSO CIDADE DE MARICÁ,135344.028368411,5253.23801533333,168385.897369635,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
PETROBRAS 76,135139.645179378,5402.95581533333,169123.21069622,4,Búzios/Búzios_Eco/Tambuatá,2021-11-01
FPSO CIDADE DE ITAGUAÍ,130815.986241023,7383.429636,177256.355799832,7,Tupi,2021-11-01
FPSO CIDADE DE SAQUAREMA,124217.056651714,5687.575459,159990.825649487,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
FPSO CIDADE DE MANGARATIBA,114864.225081947,6557.65795066667,156110.647636629,8,Tupi,2021-11-01
FPSO CIDADE DE PARATY,98322.7560960588,4437.64834166667,126234.721011957,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
FPSO CIDADE DE ILHA BELA,91084.0174436862,4584.45723233334,119919.382388189,9,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-11-01
PETROBRAS 69,88714.9077126176,4617.02981966667,117755.148042655,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
PETROBRAS 68,88412.6260567046,2180.49896566667,102127.550255944,5,Berbigão/Sururu,2021-11-01
FPSO CIDADE DE SÃO PAULO,85136.974715433,4724.68268566667,114854.331118566,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-11-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,81708.6444067152,934.991764666667,87589.5649580332,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-11-01
PETROBRAS 58,69524.81738284,2181.13348266667,83243.7325734516,12,Baleia Anã/Jubarte,2021-11-01
PETROBRAS 53,62220.44216041,1262.011943,70158.2574996108,5,Marlim Leste,2021-11-01
PETROBRAS 66 (P-66),51175.013482008,2147.974012,64685.3619024257,5,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
PETROBRAS 40,47184.49411016,1073.40634066667,53936.0160457486,15,Marlim/Marlim Sul,2021-11-01
FPSO CIDADE DE ANGRA DOS REIS,46329.5429053352,1812.226548,57728.1035692111,5,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01
PETROBRAS 52,43771.2238834933,836.933228666667,49035.3748744932,14,Roncador,2021-11-01
FPSO CARIOCA (MV-30),41941.0086295649,1179.771284,49361.5458493809,2,Sépia/Sépia Leste,2021-11-01
PETROBRAS 57,38195.7371221767,368.633099333333,40514.3692766945,16,Jubarte,2021-11-01
FPSO CIDADE DE CARAGUATATUBA,34751.7872989333,1481.82094233333,44072.159480231,4,Lapa,2021-11-01
PETROBRAS 55,33141.4827223533,539.317733333334,36533.6887946507,10,Roncador,2021-11-01
PETROBRAS 51,29322.99358304,662.506150666666,33490.0313945647,11,Marlim Sul,2021-11-01
PETROBRAS 43,29309.8332039167,392.781232333333,31780.3525268592,15,Barracuda/Caratinga,2021-11-01
FPSO CIDADE DE ANCHIETA,28751.2225981967,1041.81164066667,35304.0198737783,6,Jubarte,2021-11-01
PETROBRAS 50,26795.9046251731,717.364241666666,31307.9894060506,13,Albacora/Albacora Leste,2021-11-01
PETROBRAS 75,151251.946136121,5847.05660464285,188028.82123857,4,Búzios/Tambuatá,2021-02-01
PETROBRAS 77,149786.519245993,5758.92671071428,186009.074060311,4,Búzios/Tambuatá,2021-02-01
PETROBRAS 69,136051.587987504,6150.82803392857,174739.127663588,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
FPSO CIDADE DE SAQUAREMA,127139.56741683,5518.63767714286,161850.7498649,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
PETROBRAS 76,126251.782170104,5168.35678214286,158759.764341994,4,Búzios/Tambuatá,2021-02-01
FPSO CIDADE DE ILHA BELA,125924.702574954,5727.48057107143,161949.467145685,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-02-01
FPSO CIDADE DE ITAGUAÍ,122611.657965196,6556.29245964285,163849.491840783,6,Tupi,2021-02-01
PETROBRAS 67,117583.713079836,5183.19932392857,150185.052019475,6,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
PETROBRAS 74,114683.094128714,4743.13266785714,144516.497414329,5,Búzios/Tambuatá,2021-02-01
FPSO CIDADE DE MANGARATIBA,112662.739765893,6441.43652821429,153178.15165542,8,Tupi,2021-02-01
FPSO CIDADE DE MARICÁ,105779.39546413,3742.40458392857,129318.40924017,6,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
PETROBRAS 66,99020.0622985645,5107.20638285714,131143.420077523,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,95191.6127561584,1111.63194392857,102183.5664734,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-02-01
PETROBRAS 58,90040.8360762214,2950.8170525,108600.914681206,12,Baleia Anã/Jubarte,2021-02-01
FPSO CIDADE DE PARATY,86793.5816188554,3613.50008392857,109521.81058175,5,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
PETROBRAS 68,80051.9302705685,1668.01138285714,90543.4049465772,4,Berbigão/Sururu,2021-02-01
FPSO CIDADE DE SÃO PAULO,76188.1834758108,4214.77528428571,102698.319206664,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-02-01
PETROBRAS 70,54135.1341875833,1788.49720285714,65384.4417790862,2,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-02-01
PETROBRAS 40,53181.1342689714,1121.13781285714,60232.8780956584,14,Marlim/Marlim Sul,2021-02-01
PETROBRAS 52,52815.2694994357,1013.64754642857,59190.9199734376,13,Roncador,2021-02-01
FPSO CIDADE DE ANGRA DOS REIS,50170.9338571633,2097.69550642857,63365.0400304528,4,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01
PETROBRAS 57,39251.1527137107,368.071718571429,41566.2538898985,15,Jubarte,2021-02-01
FPSO CIDADE DE CARAGUATATUBA,39016.0733113214,1540.90056214286,48708.0450760932,4,Lapa,2021-02-01
PETROBRAS 43,35810.0156335964,427.287138928571,38497.5705529008,16,Barracuda/Caratinga,2021-02-01
FPSO PIONEIRO DE LIBRA,35585.9274877342,2298.12494,50040.6967165956,1,Mero,2021-02-01
PETROBRAS 55,33178.1906525428,575.854338571429,36800.2050298328,9,Roncador,2021-02-01
PETROBRAS 53,32416.5103860679,455.237325,35279.8666652261,9,Marlim Leste,2021-02-01
PETROBRAS 50,30268.5756153073,597.617652857143,34027.4771044247,13,Albacora/Albacora Leste,2021-02-01
FPSO CIDADE DE ANCHIETA,29611.8167162464,1070.04107964286,36342.1717993949,6,Jubarte,2021-02-01
PETROBRAS 51,29219.5392374321,659.275348571428,33366.2559176302,12,Marlim Sul,2021-02-01
PETROBRAS 77,158095.735045563,6432.411367,198554.380385834,5,Búzios/Búzios_Eco/Tambuatá,2022-04-01
PETROBRAS 70,157148.774797617,5483.19896666667,191637.054490146,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2022-04-01
PETROBRAS 74 (P-74),153513.407186643,6185.944567,192421.823183606,5,Búzios/Búzios_Eco/Tambuatá,2022-04-01
PETROBRAS 75 (P-75),136967.7202353,5191.840266,169623.409058789,4,Búzios/Búzios_Eco/Tambuatá,2022-04-01
PETROBRAS 76,136469.665823657,5658.384167,172059.827141095,4,Búzios/Búzios_Eco/Tambuatá,2022-04-01
PETROBRAS 68,131242.68485482,3382.54896633333,152518.275168753,7,Berbigão/Sul De Berbigão/Sururu,2022-04-01
FPSO CIDADE DE ITAGUAÍ,130758.975403183,7414.842033,177396.922970767,8,Tupi,2022-04-01
FPSO CIDADE DE MARICÁ,129607.426505367,4780.62593333333,159676.655307106,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
FPSO CARIOCA (MV-30),127263.256250433,3717.77943333333,150647.382508008,4,Sépia/Sépia Leste,2022-04-01
FPSO CIDADE DE SAQUAREMA,119154.43110183,5578.551033,154242.457174704,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
FPSO CIDADE DE ILHA BELA,115154.761888863,5334.19876533333,148705.858625045,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-04-01
FPSO CIDADE DE MANGARATIBA,112969.218545527,6478.438234,153717.364134122,8,Tupi,2022-04-01
PETROBRAS 67 (P-67),102136.616335663,4163.76546666667,128325.910005558,7,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
PETROBRAS 66 (P-66),101624.086974607,4974.32146533334,132911.623870475,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
PETROBRAS 69,97909.2434210767,4996.48226733333,129336.167550973,7,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
FPSO CIDADE DE PARATY,93109.0218675333,4215.34369866666,119622.732816844,6,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,90203.8131381234,1001.84433366667,96505.2236464633,11,Espadarte/Tartaruga Verde/Tartaruga Verde Sudoeste,2022-04-01
FPSO CIDADE DE SÃO PAULO,88850.45359195,4871.611866,119491.966622835,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-04-01
PETROBRAS 58,64864.9571326533,1870.991267,76633.1367137426,12,Baleia Anã/Jubarte,2022-04-01
PETROBRAS 53,57551.2289627533,1173.315967,64931.1634651496,8,Marlim Leste,2022-04-01
FPSO CIDADE DE CARAGUATATUBA,57248.1984965733,2273.59833133333,71548.700016977,4,Lapa,2022-04-01
PETROBRAS 52,51660.9476939533,1017.02216633333,58057.8238859784,15,Roncador,2022-04-01
FPSO PIONEIRO DE LIBRA,46110.93675974,3056.83883333333,65337.8722220283,1,Anc_Mero/Mero,2022-04-01
PETROBRAS 40,43443.38431007,1005.977567,49770.7920707623,14,Marlim/Marlim Sul,2022-04-01
PETROBRAS 57,40946.30458083,466.792067,43882.3379917673,16,Jubarte,2022-04-01
PETROBRAS 62,32191.39224563,2370.80136666667,47103.2823897037,11,Roncador,2022-04-01
PETROBRAS 50,29586.2011655067,740.385500333333,34243.0852893583,12,Albacora/Albacora Leste,2022-04-01
PETROBRAS 55,26802.06289428,440.361000333334,29571.8499177866,9,Roncador,2022-04-01
PETROBRAS 51,26438.05900996,448.522866666667,29259.1826219487,12,Marlim Sul,2022-04-01
PETROBRAS 43,25725.8554372467,370.009666333333,28053.1459366467,12,Barracuda/Caratinga,2022-04-01
PETROBRAS 77,165598.442782308,6807.30013714285,208415.067257911,5,Búzios/Búzios_Eco/Tambuatá/,2022-02-01
PETROBRAS 76,145188.941673091,6075.39448535714,183402.018661035,4,Búzios/Búzios_Eco/Búzios,2022-02-01
PETROBRAS 67 (P-67),136938.349888882,5572.06889928571,171985.604572299,7,Anc_Tupi/Sul De Tupi/Berbigão,2022-02-01
FPSO CARIOCA (MV-30),131930.813282712,3903.66466714286,156484.122342753,3,Sépia/Anc_Tupi,2022-02-01
FPSO CIDADE DE ITAGUAÍ,130503.516267607,7893.94343178571,180154.920604287,7,Tupi,2022-02-01
PETROBRAS 75 (P-75),124685.232663528,4953.84938928571,155844.004090751,4,Búzios/Búzios_Eco/Búzios,2022-02-01
FPSO CIDADE DE SAQUAREMA,121553.339813544,5654.30811035714,157117.86350915,7,Anc_Tupi/Sul De Tupi/Nordeste De Sapinhoá,2022-02-01
FPSO CIDADE DE MARICÁ,120153.302500272,4361.65212035714,147587.265623415,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2022-02-01
PETROBRAS 74 (P-74),117217.269342275,4821.79971107143,147545.473382969,5,Búzios/Búzios_Eco/Búzios,2022-02-01
FPSO CIDADE DE MANGARATIBA,113337.319642032,6429.417205,153777.132272213,8,Anc_Tupi,2022-02-01
PETROBRAS 68,110560.224557774,3135.28462857143,130280.569167409,7,Berbigão/Sul De Berbigão/Anc_Tupi,2022-02-01
PETROBRAS 66 (P-66),110359.189922364,4650.86182642857,139612.227146852,8,Anc_Tupi/Sul De Tupi/Anc_Tupi,2022-02-01
FPSO CIDADE DE ILHA BELA,107513.999948824,4669.6267775,136885.065150211,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Tupi,2022-02-01
PETROBRAS 70,104280.846212152,3817.89077321428,128294.653776423,4,Anc_Norte_Atapu/Atapu/Búzios,2022-02-01
PETROBRAS 69,94381.2417990332,4982.35133964286,125719.285078632,7,Anc_Tupi/Sul De Tupi/Anc_Norte_Atapu,2022-02-01
FPSO CIDADE DE PARATY,94224.2258687667,4240.59591357143,120896.768451907,6,Anc_Tupi/Sul De Tupi/Anc_Tupi,2022-02-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,92568.5845596037,1021.44602678571,98993.2859933407,11,Espadarte/Tartaruga Verde/Lapa,2022-02-01
FPSO CIDADE DE SÃO PAULO,77648.106674364,4255.63444464286,104415.238760623,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Argonauta,2022-02-01
PETROBRAS 58,66572.8945361714,2027.23987714286,79323.8481878233,12,Baleia Anã/Anc_Tupi,2022-02-01
PETROBRAS 52,58018.198085075,1092.75925678572,64891.4461859984,15,Marlim Leste,2022-02-01
FPSO CIDADE DE CARAGUATATUBA,56706.2987179643,2566.8950925,72851.5811397217,4,Nordeste De Sapinhoá,2022-02-01
FPSO PIONEIRO DE LIBRA,49415.9122418858,3347.44609035714,70470.7121354751,1,Anc_Mero/Marlim,2022-02-01
PETROBRAS 40,46697.4992811,1274.16433928571,54711.7508839827,14,Marlim/Barracuda,2022-02-01
PETROBRAS 53,40950.8098818786,757.065302857143,45712.6067944424,6,Roncador,2022-02-01
PETROBRAS 57,39822.2247808571,369.827321428571,42148.3683654518,16,Baleia Anã,2022-02-01
FPSO CIDADE DE ANGRA DOS REIS,35989.1620604218,1478.08094428571,45286.0103645995,5,Anc_Tupi/Sul De Tupi/Espadarte,2022-02-01
PETROBRAS 43,32586.1510544893,532.145360357143,35933.2442635172,15,Barracuda/Albacora,2022-02-01
PETROBRAS 50,28058.8328584743,632.054337142857,32034.3345487788,12,Albacora/Roncador,2022-02-01
PETROBRAS 55,27715.9736350964,500.420956785714,30863.5263732968,9,Jubarte,2022-02-01
FPSO ESPIRITO SANTO,25196.4483527146,250.312175357143,26770.8643763977,23,Argonauta/Anc_Mero,2022-02-01
PETROBRAS 77,161952.675092624,6755.17891903226,204441.467009343,5,Búzios/Búzios_Eco/Tambuatá,2022-01-01
PETROBRAS 70,158714.086061061,5539.02266483871,193553.48620859,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2022-01-01
PETROBRAS 76,143344.633451702,5874.37903935484,180293.361477227,4,Búzios/Búzios_Eco/Tambuatá,2022-01-01
PETROBRAS 67 (P-67),139532.450580049,5650.63908612903,175073.896810374,7,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
FPSO CIDADE DE ITAGUAÍ,130826.288882171,7729.02612548387,179440.394696501,7,Tupi,2022-01-01
PETROBRAS 74 (P-74),128675.692649758,5296.21765935484,161987.895445744,5,Búzios/Búzios_Eco/Tambuatá,2022-01-01
PETROBRAS 75 (P-75),127282.368089034,5080.16797741935,159235.659435086,3,Búzios/Búzios_Eco/Tambuatá,2022-01-01
FPSO CARIOCA (MV-30),124993.078364695,3622.38537387097,147777.194113122,3,Sépia/Sépia Leste,2022-01-01
FPSO CIDADE DE SAQUAREMA,122397.02379224,5662.57940709677,158013.572372791,7,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
FPSO CIDADE DE MANGARATIBA,115515.552221332,6713.00720645161,157739.092078544,8,Tupi,2022-01-01
FPSO CIDADE DE MARICÁ,113499.645333017,4408.29651741935,141226.992851247,7,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
FPSO CIDADE DE ILHA BELA,112267.88736524,5370.59944193548,146047.937441121,8,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-01-01
PETROBRAS 66 (P-66),103651.795330623,3963.59950322581,128582.083122008,8,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
PETROBRAS 69,97568.7617772796,5269.99033387097,130715.999679165,7,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
PETROBRAS 68,96704.134417214,2510.56818419355,112495.131287836,6,Berbigão/Sururu,2022-01-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,87633.497728247,977.333270645162,93780.7383072837,11,Espadarte/Tartaruga Verde/Tartaruga Verde Sudoeste,2022-01-01
FPSO CIDADE DE PARATY,86494.7662126879,3894.53033580645,110990.622064147,5,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
FPSO CIDADE DE SÃO PAULO,85187.8897582789,4591.36145709677,114066.680964741,7,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-01-01
PETROBRAS 58,66009.2124885322,2029.12674903226,78772.0342058628,12,Baleia Anã/Jubarte,2022-01-01
PETROBRAS 52,59831.3489327065,1104.72941580645,66779.88705954,15,Roncador,2022-01-01
FPSO CIDADE DE CARAGUATATUBA,57159.2448924645,2684.73215677419,74045.7000594644,4,Lapa,2022-01-01
FPSO PIONEIRO DE LIBRA,43839.8638610913,2995.86020193548,62683.2553178271,1,Anc_Mero/Mero,2022-01-01
PETROBRAS 40,42995.3313178968,989.338143225806,49218.0802645399,15,Marlim/Marlim Sul,2022-01-01
PETROBRAS 57,41057.6620147323,384.189346451613,43474.1400079371,16,Jubarte,2022-01-01
FPSO CIDADE DE ANGRA DOS REIS,39441.3184596882,1619.30675645161,49626.4502894851,5,Anc_Tupi/Sul De Tupi/Tupi,2022-01-01
PETROBRAS 53,36738.6787614516,618.650946129032,40629.8756689234,7,Marlim Leste,2022-01-01
PETROBRAS 43,31311.7698243226,447.480508709677,34126.3372028098,15,Barracuda/Caratinga,2022-01-01
FPSO ESPIRITO SANTO,29984.2358057707,303.846826129032,31895.3746112254,22,Argonauta/Ostra,2022-01-01
PETROBRAS 51,29103.137535329,586.469112903226,32791.9168263589,11,Marlim Sul,2022-01-01
PETROBRAS 55,26748.9407821968,461.009858709677,29648.6052016075,10,Roncador,2022-01-01
FPSO CARIOCA (MV-30),172903.778120273,5041.4457,204613.51369859,4,Sépia/Sépia Leste/Sépia_Eco,2022-06-01
PETROBRAS 77,163332.570050067,6741.49816633333,205735.312631652,5,Búzios/Búzios_Eco/Tambuatá/Búzios_Eco/Tambuatá,2022-06-01
PETROBRAS 75 (P-75),162738.761667587,6210.6413,201802.51542274,4,Búzios/Búzios_Eco/Tambuatá,2022-06-01
PETROBRAS 74 (P-74),149038.565890813,6377.386233,189151.113592999,4,Búzios/Búzios_Eco/Tambuatá,2022-06-01
PETROBRAS 70,148318.45602693,5217.521066,181135.672203067,5,Anc_Norte_Atapu/Atapu/Atapu_Eco/Oeste De Atapu,2022-06-01
PETROBRAS 76,140645.147805743,6010.2945,178448.758254788,4,Búzios/Búzios_Eco/Tambuatá,2022-06-01
PETROBRAS 67 (P-67),137474.303629303,5814.26100133333,174044.9006181,7,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
PETROBRAS 68,135090.151148803,3681.866867,158248.394187529,8,Berbigão/Sul De Berbigão/Sururu,2022-06-01
FPSO CIDADE DE SAQUAREMA,118134.74597406,5570.011866,153169.062308945,8,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
FPSO CIDADE DE MARICÁ,111948.94427222,4136.78089966667,137968.510142752,6,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
FPSO CIDADE DE ILHA BELA,110133.43464439,4985.47373333333,141491.117187047,7,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-06-01
FPSO CIDADE DE MANGARATIBA,104984.919055303,5917.22790033333,142203.158275099,7,Tupi,2022-06-01
FPSO CIDADE DE PARATY,99545.9127845733,4292.8937,126547.39850777,6,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
FPSO CIDADE DE ITAGUAÍ,90953.8562098933,5081.8993,122918.037246026,7,Tupi,2022-06-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,88037.3509817234,970.078700333334,94138.961691867,11,Espadarte/Tartaruga Verde/Tartaruga Verde Sudoeste,2022-06-01
FPSO CIDADE DE SÃO PAULO,86367.29321224,4560.66826666667,115053.030082603,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-06-01
PETROBRAS 58,64315.9280041667,2462.505333,79804.6186727234,13,Baleia Anã/Jubarte,2022-06-01
FPSO CIDADE DE CARAGUATATUBA,56748.5674392233,2121.40596533333,70091.8078940366,4,Lapa,2022-06-01
PETROBRAS 52,54686.72159595,985.050766333334,60882.5037565411,15,Roncador,2022-06-01
PETROBRAS 40,43946.6424911867,1034.451967,50453.1488177429,14,Marlim/Marlim Sul,2022-06-01
FPSO CIDADE DE ANGRA DOS REIS,41106.75763393,1618.552467,51287.1451263913,4,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
PETROBRAS 57,38593.5780876933,362.513766666667,40873.720802411,16,Jubarte,2022-06-01
PETROBRAS 53,35741.8033929333,574.534199666667,39355.5143473387,9,Marlim Leste,2022-06-01
PETROBRAS 50,29469.1100625467,572.108134,33067.5615248612,12,Albacora/Albacora Leste,2022-06-01
PETROBRAS 66 (P-66),27546.8120405367,1100.10009933333,34466.2326463245,6,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
PETROBRAS 69,26857.0484133,1417.05006633333,35770.0240910241,7,Anc_Tupi/Sul De Tupi/Tupi,2022-06-01
FPSO GUANABARA,25587.78991454,1554.76006666667,35366.9353294607,1,Anc_Mero/Mero,2022-06-01
PETROBRAS 55,24779.0985598233,411.191966333333,27365.4179015864,7,Roncador,2022-06-01
PETROBRAS 51,22136.93597652,367.541999666667,24448.7053214434,11,Marlim Sul,2022-06-01
FPSO CIDADE DE NITEROI,21918.8032691167,449.862033333333,24748.349984997,4,Marlim Leste,2022-06-01
FPSO CARIOCA (MV-30),165478.479406887,4823.36006451613,195816.497774281,4,Sépia/Sépia Leste/Sépia_Eco,2022-05-01
PETROBRAS 77,159091.611551674,6559.6908716129,200350.820792854,5,Búzios/Búzios_Eco/Tambuatá,2022-05-01
PETROBRAS 70,159000.123221768,5527.56893580645,193767.481589893,4,Anc_Norte_Atapu/Atapu/Atapu_Eco/Oeste De Atapu,2022-05-01
PETROBRAS 75 (P-75),142104.096761616,5359.14261258064,175812.085557652,4,Búzios/Búzios_Eco/Tambuatá,2022-05-01
